Movie-directors
Aaron A. Goffman
Hellmuth Brikisak
Henco J.
Hermann Vaske
Hideaki ÃÂba
Hiroyuki Kitazume
Howard Franklin
Howard Hill
Howard Himelstein
Hynek Pallas
Hyung-rae Shim
Ira Miller
IstvÃÂ¡n SzabÃÂ³
Itamar Kubovy
Ivan Petukhov
Ivan Reitman
Jack Baran
Jack Nicholson
Jack Sholder
Jackie Chan
Jake Kramer
James D. Stern
James Duffy
James Gunn
James Ivory
James Mangold
James Mottern
James Oakley
James Signorelli
James Toback
Jane Campion
Jane Magnusson
Jasmin Dizdar
Jean-Louis Leconte
Jeff Burr
Jeff Santo
Jeffrey Schwarz
Jeremiah S. Chechik
Jeremy Newson
Jessica Valentine
Jim Jarmusch
Jim Wilson
Joe Dea
Joe Pytka
Joel Coen
Joel Schumacher
Joel Silverman
Joey Figueroa
John Ankele
John Badham
John Barry
John Boorman
John Byrum
John Cregan
John Dorr
John Fortenberry
John Hughes
John Huston
John Irvin
John Leekley
John McNaughton
John Raffo
John Sayles
John Turturro
John Vasey
John Wells
John Woo
Jon Favreau
Jon Turteltaub
Jonathan Mostow
Jonathan Sobol
Jonathan van Tulleken
Jose Padilha
Juan Gerard
Julia Sweeney
Justin Francis
Karyn Kusama
Katherine Dieckmann
Kathryn Bigelow
Ken G. Hall
Ken Loach
Kent Jones
Kevin Krakower
Kranti KanadÃÂ©
Lance Brown
Larry Kamerman
Lars von Trier
Laura Lovelace
Laurent Bouzereau
Lina WertmÃÂ¼ller
Lisa Cholodenko
Liz Garbus
Lloyd A. Simandl
Lloyd Kaufman
Louis Venosta
Luc Besson
Luis SepÃÂºlveda
LÃÂ©a Rinaldi
Manuel Pradal
Marco Pontecorvo
Mark Finch Hedengren
Mark Hartley
Mark Rosman
Martin McDonagh
Martin Scorsese
Mary McGuckian
Masayuki Ozeki
Mats NystrÃÂ¶m
Matt Schichter
Matt Tyrnauer
Matthew Gray Gubler
Matthew Prinzing
Max Makowski
Max Winkler
McG McG
Melanie Mayron
Melina Matsoukas
Michael Almereyda
Michael Arick
Michael Bay
Michael Dinner
Michael Gillis
Michael Lehmann
Michael Mazo
Michael ODonoghue
Michael Off
Mick Jackson
Mike Diedrich
Mike Kaplan
Mike Lordi
Mike White
Mitch Glazer
Mitu Misra
Monty W. Maxwell
Morgan Spurlock
Nadine Labaki
Nana Yuriko
Nancy Kelly
Nancy Meyers
Neil Leifer
Nicholas Jarecki
Nick Hamm
Nick Ormerod
Nicole Holofcener
Niki Caro
Ninder Billing
NomeDiretor
Paolo Sorrentino
Pat OConnor
Patrik Forsberg
Paul Auster
Paul Feig
Paul Lynch
Paul Mazursky
Paul Miller
Paul Schrader
Paul Weitz
Peter Bogdanovich
Peter Farrelly
Peter Hewitt
Peter Ily Huemer
Peter Medak
Peter Putka
Peter Segal
Peter Sempel
Peter Sohn
Peter Yates
Phil Joanou
Philip Frank Messina
Philip Kaufman
Philippe Azoulay
Picha Picha
Polly Draper
Prince Mario-Max Schaumburg-Lippe
Quentin Tarantino
Rachel Talalay
Rachid Bouchareb
Reb Braddock
Renzo Martinelli
Richard Donner
Richard Linklater
Rick Caine
Ridley Scott
Rob Garver
Rob Hynes
Rob Zombie
Robert Altman
Robert Pulcini
Robert Rodriguez
Robert Samuels
Roberto Faenza
Rod Lopez
Rodrigo CortÃÂ©s
Rodrigo H. Vila
Roger Michell
Rohit James
Roland JoffÃÂ©
Roman Coppola
Rory Kelly
Rosanna Arquette
Ruben Fleischer
Rufus Williams
Rusty Cundieff
Rusty Nails
Ryan Wyatt
Sadie Katz
Sam George
Sam Pellegrino
Sam Raimi
Sang-soo Im
Santino Noir Campanelli
Sarah Kelly
Scott Magill
Scott Prestin
Sean McGrath
Sean Mewshaw
Sergio Citti
Shari Springer Berman
Sherif Higazy
Shinji Aramaki
Sig Shore
Simon Cox
Simone LainÃÂ©
Sofia Coppola
Sophie Muller
Souheil Ben-Barka
Spike Lee
Stanley Donen
Stephan Elliott
Stephen Frears
Steve Carr
Steven Brill
Susan Morgan Cooper
Susan Stroman
Susanna Styron
Sydney Pollack
Takashi Miike
Taylor Hackford
Ted Demme
Terry Gilliam
Terry Hughes
Theodore Melfi
Theodoros Angelopoulos
Tim Blake Nelson
Tim Burton
Tim Hill
Tim Robbins
Tineke Roeffen
TJ Nordaker
Todd G. Bieber
Todd McCarthy
Tom Kalin
Tom McGrath
Tom Schiller
Tom Thurman
Tony Bui
Tony Richardson
Trevor P. Jenkins
Uchkun Nazarov
Ulu Grosbard
Vadim Perelman
Vicente Amorim
Victoria Hochberg
Viki Posidis
Volker Koepp
Wandong Wang
Wendy Apple
Wes Anderson
Will Graham
Woody Allen
Yoko Okumura
Zak Knutson
